year,gender,city,cancer,年齡標準化發生率WHO2000世界標準人口(每10萬人口),cancercount,ageavg,agemedium,grossrate(10million),cid,gid
1980,男,宜蘭縣,口腔、口咽及下咽,1.35,3,52,51,1.29,L,M
1980,男,苗栗縣,口腔、口咽及下咽,4.68,10,52.8,53,3.53,M,M
1980,男,彰化縣,口腔、口咽及下咽,11.2,49,52.69,52,8.14,N,M
1980,男,南投縣,口腔、口咽及下咽,3.7,8,54,53,2.92,O,M
1980,男,雲林縣,口腔、口咽及下咽,9.17,28,55.54,56,6.77,P,M
1980,男,嘉義縣,口腔、口咽及下咽,5.54,13,53.23,55,4.33,Q,M
1980,男,屏東縣,口腔、口咽及下咽,2.03,5,51.2,51,1.07,R,M
1980,男,花蓮縣,口腔、口咽及下咽,5.54,9,56.78,54,4.64,T,M
1980,男,台東縣,口腔、口咽及下咽,8.01,13,58.23,56,8.41,U,M
1980,男,連江縣,口腔、口咽及下咽,25.68,1,32,32,19.07,,M
1980,女,台閩地區,口腔、口咽及下咽,1.47,85,55.64,58,0.99,V,F
1980,女,台北市,口腔、口咽及下咽,1.87,14,52.43,56,1.31,B,F
1980,女,台中市,口腔、口咽及下咽,1.35,5,66.8,64,0.64,C,F
1980,女,台南市,口腔、口咽及下咽,1.29,7,58.71,58,0.94,D,F
1980,女,高雄市,口腔、口咽及下咽,1.43,10,50.4,52.5,0.95,E,F
1980,女,嘉義市,口腔、口咽及下咽,1.3,1,70,70,0.82,H,F
1980,女,新北市,口腔、口咽及下咽,1.74,12,51.08,54,1.1,I,F
1980,女,桃園市,口腔、口咽及下咽,0.8,2,63,63,0.4,J,F
1980,女,新竹縣,口腔、口咽及下咽,1.23,2,28,28,1.18,K,F
1980,女,宜蘭縣,口腔、口咽及下咽,0.61,1,47,47,0.48,L,F
1980,女,苗栗縣,口腔、口咽及下咽,0.51,1,56,56,0.39,M,F
1980,女,彰化縣,口腔、口咽及下咽,1.67,7,58,62,1.24,N,F
1980,女,南投縣,口腔、口咽及下咽,0.56,1,62,62,0.4,O,F
1980,女,雲林縣,口腔、口咽及下咽,1.74,5,62.2,63,1.31,P,F
1980,女,嘉義縣,口腔、口咽及下咽,1.35,3,66.67,65,1.1,Q,F
1980,女,屏東縣,口腔、口咽及下咽,0.79,3,44.33,49,0.71,R,F
1980,女,花蓮縣,口腔、口咽及下咽,2.16,2,74,74,1.24,T,F
1980,女,台東縣,口腔、口咽及下咽,5.56,5,55.2,68,3.95,U,F
1981,男,台閩地區,口腔、口咽及下咽,5.28,380,53.91,53,4.01,V,M
1981,男,台北市,口腔、口咽及下咽,3.34,30,55.03,56,2.56,B,M
1981,男,台中市,口腔、口咽及下咽,5.97,37,52.73,51,4.34,C,M
1981,男,台南市,口腔、口咽及下咽,3.79,21,58.38,56,2.58,D,M
1981,男,高雄市,口腔、口咽及下咽,6.24,53,51.09,52,4.54,E,M
1981,男,基隆市,口腔、口咽及下咽,2.9,5,60.4,62,2.73,F,M
1981,男,新竹市,口腔、口咽及下咽,2.39,3,54,53,2.02,G,M
1981,男,嘉義市,口腔、口咽及下咽,7.07,8,51.38,51.5,6.15,H,M
1981,男,新北市,口腔、口咽及下咽,3.89,32,54.09,53.5,2.63,I,M
1981,男,桃園市,口腔、口咽及下咽,5.03,21,55.48,52,3.64,J,M
1981,男,新竹縣,口腔、口咽及下咽,0.54,1,50,50,0.52,K,M
1981,男,宜蘭縣,口腔、口咽及下咽,2.08,4,58.25,56,1.71,L,M
1981,男,苗栗縣,口腔、口咽及下咽,2.56,5,60.8,65,1.75,M,M
1981,男,彰化縣,口腔、口咽及下咽,7.94,36,52.89,49.5,5.91,N,M
1981,男,南投縣,口腔、口咽及下咽,4.27,10,54.9,56,3.63,O,M
1981,男,雲林縣,口腔、口咽及下咽,7,22,54.86,55,5.31,P,M
1981,男,嘉義縣,口腔、口咽及下咽,8.75,22,54.59,53,7.33,Q,M
1981,男,屏東縣,口腔、口咽及下咽,4.05,14,51.86,50,2.98,R,M
1981,男,澎湖縣,口腔、口咽及下咽,2.15,1,64,64,1.81,S,M
1981,男,花蓮縣,口腔、口咽及下咽,6.03,11,52.64,52,5.63,T,M
1981,男,台東縣,口腔、口咽及下咽,2.67,4,54.75,53.5,2.59,U,M
1981,男,連江縣,口腔、口咽及下咽,44.78,1,45,45,21.3,,M
1981,女,台閩地區,口腔、口咽及下咽,1.49,89,57.02,60,1.02,V,F
1981,女,台北市,口腔、口咽及下咽,3.46,25,56.56,60,2.27,B,F
1981,女,台中市,口腔、口咽及下咽,0.92,5,51.4,50,0.63,C,F
1981,女,台南市,口腔、口咽及下咽,0.84,5,54,53,0.67,D,F
1981,女,高雄市,口腔、口咽及下咽,0.63,4,53.5,57.5,0.37,E,F
1981,女,基隆市,口腔、口咽及下咽,0.74,1,44,44,0.61,F,F
1981,女,嘉義市,口腔、口咽及下咽,1.02,1,52,52,0.82,H,F
1981,女,新北市,口腔、口咽及下咽,1.35,9,56.22,68,0.79,I,F
1981,女,桃園市,口腔、口咽及下咽,0.79,2,65,65,0.39,J,F
1981,女,新竹縣,口腔、口咽及下咽,0.87,1,61,61,0.58,K,F
1981,女,苗栗縣,口腔、口咽及下咽,0.5,1,57,57,0.38,M,F
1981,女,彰化縣,口腔、口咽及下咽,2.33,10,63.6,67,1.75,N,F
1981,女,南投縣,口腔、口咽及下咽,1.03,2,52,52,0.79,O,F
1981,女,雲林縣,口腔、口咽及下咽,2.24,7,54.57,56,1.83,P,F
1981,女,嘉義縣,口腔、口咽及下咽,0.89,2,61,61,0.73,Q,F
1981,女,屏東縣,口腔、口咽及下咽,1,3,68.67,68,0.71,R,F
1981,女,澎湖縣,口腔、口咽及下咽,2.24,1,28,28,1.99,S,F
1981,女,花蓮縣,口腔、口咽及下咽,2.31,3,47.33,56,1.85,T,F
1981,女,台東縣,口腔、口咽及下咽,1.03,1,53,53,0.79,U,F
1982,男,台閩地區,口腔、口咽及下咽,5.01,361,55.5,56,3.75,V,M
1982,男,台北市,口腔、口咽及下咽,2.27,20,61.45,60,1.67,B,M
1982,男,台中市,口腔、口咽及下咽,5.03,32,54.38,53,3.67,C,M
1982,男,台南市,口腔、口咽及下咽,3.22,20,55.15,58,2.42,D,M
1982,男,高雄市,口腔、口咽及下咽,3.16,28,48.04,50,2.36,E,M
1982,男,基隆市,口腔、口咽及下咽,0.85,1,72,72,0.54,F,M
1982,男,新竹市,口腔、口咽及下咽,0.75,1,52,52,0.66,G,M
1982,男,新北市,口腔、口咽及下咽,4.42,37,55.62,58,2.93,I,M
1982,男,桃園市,口腔、口咽及下咽,1.23,6,62.17,63,1.01,J,M
1982,男,新竹縣,口腔、口咽及下咽,4.12,7,54.43,58,3.63,K,M
1982,男,宜蘭縣,口腔、口咽及下咽,8,14,57.57,59,5.99,L,M
1982,男,苗栗縣,口腔、口咽及下咽,2.09,4,67.5,65,1.4,M,M
1982,男,彰化縣,口腔、口咽及下咽,9.71,45,51.56,50,7.3,N,M
1982,男,南投縣,口腔、口咽及下咽,6.88,15,57.67,58,5.41,O,M
1982,男,雲林縣,口腔、口咽及下咽,8.14,26,55.04,53.5,6.27,P,M
1982,男,嘉義縣,口腔、口咽及下咽,6.83,16,58,59.5,5.32,Q,M
1982,男,屏東縣,口腔、口咽及下咽,3.13,10,54.7,57,2.12,R,M
1982,男,花蓮縣,口腔、口咽及下咽,4.89,10,54.2,55,5.1,T,M
1982,男,台東縣,口腔、口咽及下咽,4.34,5,63.4,57,3.23,U,M
1982,女,台閩地區,口腔、口咽及下咽,1.36,84,55.31,58.5,0.95,V,F
1982,女,台北市,口腔、口咽及下咽,0.13,1,60,60,0.09,B,F
1982,女,台中市,口腔、口咽及下咽,0.68,5,31.8,40,0.61,C,F
1982,女,台南市,口腔、口咽及下咽,1.49,9,53.89,60,1.18,D,F
1982,女,高雄市,口腔、口咽及下咽,0.27,2,48,48,0.18,E,F
1982,女,新北市,口腔、口咽及下咽,2.12,15,52,52,1.27,I,F
1982,女,桃園市,口腔、口咽及下咽,0.66,2,53,53,0.37,J,F
1982,女,新竹縣,口腔、口咽及下咽,1.53,2,45,45,1.16,K,F
1982,女,宜蘭縣,口腔、口咽及下咽,1.31,2,59.5,59.5,0.94,L,F
1982,女,苗栗縣,口腔、口咽及下咽,2.01,4,68,66,1.53,M,F
1982,女,彰化縣,口腔、口咽及下咽,1.58,7,60.86,55,1.21,N,F
1982,女,南投縣,口腔、口咽及下咽,1.01,2,69,69,0.79,O,F
1982,女,雲林縣,口腔、口咽及下咽,0.6,2,49,49,0.52,P,F
1982,女,嘉義縣,口腔、口咽及下咽,1.66,4,61.75,65,1.46,Q,F
1982,女,屏東縣,口腔、口咽及下咽,1.27,4,66,66.5,0.94,R,F
1982,女,花蓮縣,口腔、口咽及下咽,1.73,2,54.5,54.5,1.22,T,F
1982,女,台東縣,口腔、口咽及下咽,3.48,3,64,68,2.38,U,F
1982,女,金門縣,口腔、口咽及下咽,4.99,1,69,69,4.1,,F
1983,男,台閩地區,口腔、口咽及下咽,6.11,453,55.97,57,4.64,V,M
1983,男,台北市,口腔、口咽及下咽,5.21,51,54.47,53,4.16,B,M
1983,男,台中市,口腔、口咽及下咽,7.57,49,55.02,55,5.5,C,M
1983,男,台南市,口腔、口咽及下咽,3.85,26,54.58,56,3.11,D,M
1983,男,高雄市,口腔、口咽及下咽,3.73,35,50.26,50,2.91,E,M
1983,男,基隆市,口腔、口咽及下咽,6.19,9,57.89,57,4.88,F,M
1983,男,新竹市,口腔、口咽及下咽,2.5,3,54,54,1.97,G,M
1983,男,嘉義市,口腔、口咽及下咽,12.45,13,53.69,58,9.98,H,M
1983,男,新北市,口腔、口咽及下咽,6.03,53,57.09,58,4.09,I,M
1983,男,桃園市,口腔、口咽及下咽,5.48,21,58.1,56,3.44,J,M
1983,男,新竹縣,口腔、口咽及下咽,1.46,2,69,69,1.03,K,M
1983,男,宜蘭縣,口腔、口咽及下咽,1.42,3,52,52,1.28,L,M
1983,男,苗栗縣,口腔、口咽及下咽,3.78,9,57.44,62,3.14,M,M
1983,男,彰化縣,口腔、口咽及下咽,10.37,49,55.69,57,7.89,N,M
1983,男,南投縣,口腔、口咽及下咽,7.68,16,57.94,57.5,5.75,O,M
1983,男,雲林縣,口腔、口咽及下咽,10.88,33,59.67,59,7.96,P,M
1983,男,嘉義縣,口腔、口咽及下咽,3.4,9,42,46,2.99,Q,M
1983,男,屏東縣,口腔、口咽及下咽,4.26,16,57.81,56,3.37,R,M
1983,男,花蓮縣,口腔、口咽及下咽,6.65,12,59.33,58,6.1,T,M
1983,男,台東縣,口腔、口咽及下咽,7.45,11,62.64,68,7.13,U,M
1983,女,台閩地區,口腔、口咽及下咽,1.55,99,54.93,57,1.1,V,F
1983,女,台北市,口腔、口咽及下咽,1.87,16,52.31,54,1.38,B,F
1983,女,台中市,口腔、口咽及下咽,0.91,5,55.6,58,0.6,C,F
1983,女,台南市,口腔、口咽及下咽,1.43,9,53.33,62,1.17,D,F
1983,女,高雄市,口腔、口咽及下咽,0.69,5,55,56,0.45,E,F
1983,女,基隆市,口腔、口咽及下咽,1.75,2,48.5,48.5,1.19,F,F
1983,女,新竹市,口腔、口咽及下咽,1.22,1,70,70,0.71,G,F
1983,女,嘉義市,口腔、口咽及下咽,1.25,1,66,66,0.82,H,F
1983,女,新北市,口腔、口咽及下咽,1.77,14,48.36,50,1.15,I,F
1983,女,桃園市,口腔、口咽及下咽,1.15,3,69,70,0.55,J,F
1983,女,新竹縣,口腔、口咽及下咽,1.59,2,57,57,1.16,K,F
1983,女,宜蘭縣,口腔、口咽及下咽,0.64,1,56,56,0.47,L,F
1983,女,彰化縣,口腔、口咽及下咽,1.11,5,53.8,53,0.86,N,F
1983,女,南投縣,口腔、口咽及下咽,1.53,3,64,68,1.18,O,F
1983,女,雲林縣,口腔、口咽及下咽,1.48,5,60.4,57,1.31,P,F
1983,女,嘉義縣,口腔、口咽及下咽,1.28,3,51.67,51,1.1,Q,F
1983,女,屏東縣,口腔、口咽及下咽,1.85,6,61.67,65,1.41,R,F
1983,女,花蓮縣,口腔、口咽及下咽,3.77,4,67,68.5,2.44,T,F
1983,女,台東縣,口腔、口咽及下咽,2.35,2,56.5,56.5,1.59,U,F
1984,男,台閩地區,口腔、口咽及下咽,7.02,541,54.1,54,5.46,V,M
1984,男,台北市,口腔、口咽及下咽,6.59,67,52.9,54,5.34,B,M
1984,男,台中市,口腔、口咽及下咽,10.08,62,54.23,54.5,6.79,C,M
1984,男,台南市,口腔、口咽及下咽,2.93,22,52.09,56.5,2.6,D,M
1984,男,高雄市,口腔、口咽及下咽,6.24,58,50.93,51,4.76,E,M
1984,男,基隆市,口腔、口咽及下咽,3.92,6,55.5,56,3.25,F,M
1984,男,新竹市,口腔、口咽及下咽,10.73,13,55.46,54,8.4,G,M
1984,男,嘉義市,口腔、口咽及下咽,10.71,11,54.09,53,8.46,H,M
1984,男,新北市,口腔、口咽及下咽,5.89,55,55.38,54,4.13,I,M
1984,男,桃園市,口腔、口咽及下咽,4.82,24,57.54,59,3.84,J,M
1984,男,新竹縣,口腔、口咽及下咽,2.44,4,55.25,55,2.07,K,M
1984,男,宜蘭縣,口腔、口咽及下咽,1.49,3,65.67,62,1.28,L,M
1984,男,苗栗縣,口腔、口咽及下咽,4.56,10,62.3,58.5,3.48,M,M
1984,男,彰化縣,口腔、口咽及下咽,10.83,51,53.08,53,8.13,N,M
1984,男,南投縣,口腔、口咽及下咽,9.39,21,55.81,56,7.52,O,M
1984,男,雲林縣,口腔、口咽及下咽,11.51,38,55.53,56.5,9.18,P,M
1984,男,嘉義縣,口腔、口咽及下咽,8.05,21,54.62,55,6.99,Q,M
1984,男,屏東縣,口腔、口咽及下咽,4.36,16,53.13,54.5,3.37,R,M
1984,男,花蓮縣,口腔、口咽及下咽,8.79,16,56.31,57,8.13,T,M
1984,男,台東縣,口腔、口咽及下咽,10.51,12,46.08,48.5,7.84,U,M
1984,女,台閩地區,口腔、口咽及下咽,1.15,79,52.7,55,0.86,V,F
1984,女,台北市,口腔、口咽及下咽,1.28,12,51.83,52.5,1,B,F
1984,女,台中市,口腔、口咽及下咽,1.58,9,55.67,59,1.04,C,F
1984,女,台南市,口腔、口咽及下咽,0.84,5,62.2,63,0.64,D,F
1984,女,高雄市,口腔、口咽及下咽,0.74,7,42.43,44,0.62,E,F
1984,女,基隆市,口腔、口咽及下咽,0.82,1,38,38,0.59,F,F
1984,女,新竹市,口腔、口咽及下咽,0.55,1,21,21,0.7,G,F
1984,女,嘉義市,口腔、口咽及下咽,2.07,2,52,52,1.63,H,F
1984,女,新北市,口腔、口咽及下咽,1.26,10,53.9,57,0.8,I,F
1984,女,桃園市,口腔、口咽及下咽,1.23,5,43.8,38,0.89,J,F
1984,女,宜蘭縣,口腔、口咽及下咽,0.66,1,66,66,0.46,L,F
1984,女,苗栗縣,口腔、口咽及下咽,0.79,2,45.5,45.5,0.76,M,F
1984,女,彰化縣,口腔、口咽及下咽,0.89,4,50,46.5,0.68,N,F
1984,女,雲林縣,口腔、口咽及下咽,0.58,2,54.5,54.5,0.52,P,F
1984,女,嘉義縣,口腔、口咽及下咽,1.14,3,60.33,55,1.1,Q,F
1984,女,屏東縣,口腔、口咽及下咽,0.29,1,52,52,0.23,R,F
1984,女,花蓮縣,口腔、口咽及下咽,0.93,1,76,76,0.61,T,F
1984,女,台東縣,口腔、口咽及下咽,2.03,2,58,58,1.61,U,F
1985,男,台閩地區,口腔、口咽及下咽,7.37,574,54.74,55,5.73,V,M
1985,男,台北市,口腔、口咽及下咽,4.39,46,53.13,50,3.59,B,M
1985,男,台中市,口腔、口咽及下咽,9.45,63,55.43,56,6.75,C,M
1985,男,台南市,口腔、口咽及下咽,4.67,32,54.47,55.5,3.75,D,M
1985,男,高雄市,口腔、口咽及下咽,6.93,66,50.94,51,5.35,E,M
1985,男,基隆市,口腔、口咽及下咽,3.84,7,59.14,59,3.82,F,M
1985,男,新竹市,口腔、口咽及下咽,2.11,4,65,65.5,2.51,G,M
1985,男,嘉義市,口腔、口咽及下咽,16.31,16,56.44,56,12.31,H,M
1985,男,新北市,口腔、口咽及下咽,6.31,60,56.08,57,4.38,I,M
1985,男,桃園市,口腔、口咽及下咽,5.08,22,56.64,54.5,3.46,J,M
1985,男,新竹縣,口腔、口咽及下咽,2.11,3,59.67,66,1.55,K,M
1985,男,宜蘭縣,口腔、口咽及下咽,4.2,6,62.5,61,2.56,L,M
1985,男,苗栗縣,口腔、口咽及下咽,5.79,13,55.85,56,4.53,M,M
1985,男,彰化縣,口腔、口咽及下咽,14.16,68,53.28,53.5,10.77,N,M
1985,男,南投縣,口腔、口咽及下咽,9.22,21,52.29,48,7.51,O,M
1985,男,雲林縣,口腔、口咽及下咽,12.22,40,55.13,53.5,9.71,P,M
1985,男,嘉義縣,口腔、口咽及下咽,5.35,12,57.08,53,4.02,Q,M
1985,男,屏東縣,口腔、口咽及下咽,6.4,26,55.35,57,5.48,R,M
1985,男,澎湖縣,口腔、口咽及下咽,1.71,1,62,62,1.86,S,M
1985,男,花蓮縣,口腔、口咽及下咽,7.01,13,55.77,57,6.61,T,M
1985,男,台東縣,口腔、口咽及下咽,7.98,10,57.1,52.5,6.53,U,M
1985,男,金門縣,口腔、口咽及下咽,14.28,3,55.67,53,11.88,,M
1985,女,台閩地區,口腔、口咽及下咽,1.7,113,56.95,56,1.22,V,F
1985,女,台北市,口腔、口咽及下咽,1.64,14,55.43,53,1.14,B,F
1985,女,台中市,口腔、口咽及下咽,0.76,5,49.4,50,0.57,C,F
1985,女,台南市,口腔、口咽及下咽,1.44,9,61.33,59,1.14,D,F
1985,女,高雄市,口腔、口咽及下咽,2.56,18,57.5,62,1.57,E,F
1985,女,新北市,口腔、口咽及下咽,1.33,11,51.27,55,0.85,I,F
1985,女,桃園市,口腔、口咽及下咽,1.87,7,52.43,54,1.22,J,F
1985,女,宜蘭縣,口腔、口咽及下咽,1.79,3,59.33,62,1.39,L,F
1985,女,苗栗縣,口腔、口咽及下咽,0.58,1,44,44,0.38,M,F
1985,女,彰化縣,口腔、口咽及下咽,1.57,7,58,55,1.18,N,F
1985,女,南投縣,口腔、口咽及下咽,0.88,2,56.5,56.5,0.78,O,F
1985,女,雲林縣,口腔、口咽及下咽,2.41,7,75.57,77,1.85,P,F
1985,女,嘉義縣,口腔、口咽及下咽,1.99,5,56.8,58,1.84,Q,F
1985,女,屏東縣,口腔、口咽及下咽,1.25,5,43,52,1.17,R,F
1985,女,花蓮縣,口腔、口咽及下咽,0.94,1,65,65,0.61,T,F
1985,女,台東縣,口腔、口咽及下咽,5.18,5,57.4,54,4.05,U,F
1986,男,台閩地區,口腔、口咽及下咽,7.28,582,54.96,55,5.75,V,M
1986,男,台北市,口腔、口咽及下咽,5.78,59,57.92,60,4.5,B,M
1986,男,台中市,口腔、口咽及下咽,8.22,59,54.07,54,6.19,C,M
1986,男,台南市,口腔、口咽及下咽,4.3,30,59.17,60,3.5,D,M
1986,男,高雄市,口腔、口咽及下咽,9.41,92,51.3,50,7.4,E,M
1986,男,基隆市,口腔、口咽及下咽,6.76,10,54.7,54.5,5.5,F,M
1986,男,新竹市,口腔、口咽及下咽,7.8,9,50.78,43,5.63,G,M
1986,男,嘉義市,口腔、口咽及下咽,8.05,9,52.78,53,6.93,H,M
1986,男,新北市,口腔、口咽及下咽,7.04,66,55.25,56,4.71,I,M
1986,男,桃園市,口腔、口咽及下咽,4.26,23,51.35,54,3.56,J,M
1986,男,新竹縣,口腔、口咽及下咽,1.64,3,45.67,49,1.55,K,M
1986,男,宜蘭縣,口腔、口咽及下咽,6.01,11,60.18,59,4.72,L,M
1986,男,苗栗縣,口腔、口咽及下咽,3.14,8,57.63,59,2.8,M,M
1986,男,彰化縣,口腔、口咽及下咽,16.57,81,55.8,54,12.81,N,M
1986,男,南投縣,口腔、口咽及下咽,10.76,24,53.88,52.5,8.6,O,M
1986,男,雲林縣,口腔、口咽及下咽,11.81,41,54.8,55,10.04,P,M
1986,男,嘉義縣,口腔、口咽及下咽,6.23,17,51.82,54,5.74,Q,M
1986,男,屏東縣,口腔、口咽及下咽,4.02,17,53.24,55,3.6,R,M
1986,男,花蓮縣,口腔、口咽及下咽,3.68,9,65,65,4.61,T,M
1986,男,台東縣,口腔、口咽及下咽,9.29,12,62.75,66,7.95,U,M
1986,男,金門縣,口腔、口咽及下咽,5.19,1,76,76,4.06,,M
1986,女,台閩地區,口腔、口咽及下咽,1.17,81,57.59,61,0.86,V,F
1986,女,台北市,口腔、口咽及下咽,1.19,11,58.64,63,0.87,B,F
1986,女,台中市,口腔、口咽及下咽,1.37,8,57.25,53.5,0.89,C,F
1986,女,台南市,口腔、口咽及下咽,0.69,5,52.4,56,0.63,D,F
1986,女,高雄市,口腔、口咽及下咽,0.97,8,56.75,59.5,0.69,E,F
1986,女,基隆市,口腔、口咽及下咽,2.51,3,65.67,67,1.79,F,F
1986,女,新竹市,口腔、口咽及下咽,0.87,1,56,56,0.68,G,F
1986,女,新北市,口腔、口咽及下咽,1.15,10,53.3,60.5,0.75,I,F
1986,女,桃園市,口腔、口咽及下咽,0.28,1,62,62,0.17,J,F
1986,女,新竹縣,口腔、口咽及下咽,0.77,1,37,37,0.58,K,F
1986,女,宜蘭縣,口腔、口咽及下咽,1.75,3,64,68,1.39,L,F
1986,女,苗栗縣,口腔、口咽及下咽,0.47,1,52,52,0.38,M,F
1986,女,彰化縣,口腔、口咽及下咽,0.4,2,58,58,0.34,N,F
1986,女,南投縣,口腔、口咽及下咽,0.92,2,57.5,57.5,0.78,O,F
1986,女,雲林縣,口腔、口咽及下咽,1.46,5,53.2,49,1.33,P,F
1986,女,嘉義縣,口腔、口咽及下咽,0.99,2,55.5,55.5,0.75,Q,F
1986,女,屏東縣,口腔、口咽及下咽,0.98,3,70,74,0.71,R,F
1986,女,澎湖縣,口腔、口咽及下咽,4.34,2,64.5,64.5,4.17,S,F
1986,女,花蓮縣,口腔、口咽及下咽,3,3,68.33,67,1.83,T,F
1986,女,台東縣,口腔、口咽及下咽,7.8,8,53.5,54.5,6.58,U,F
1987,男,台閩地區,口腔、口咽及下咽,8.67,718,54.24,55,7.03,V,M
1987,男,台北市,口腔、口咽及下咽,6.1,70,54.67,56,5.22,B,M
1987,男,台中市,口腔、口咽及下咽,10.56,77,53.6,54,7.91,C,M
1987,男,台南市,口腔、口咽及下咽,5.35,41,50.22,52,4.74,D,M
1987,男,高雄市,口腔、口咽及下咽,10.76,104,52.27,51,8.29,E,M
1987,男,基隆市,口腔、口咽及下咽,7.55,11,55.73,55,6.06,F,M
1987,男,新竹市,口腔、口咽及下咽,7.25,11,43,43,6.83,G,M
1987,男,嘉義市,口腔、口咽及下咽,12.66,14,51.71,53,10.74,H,M
1987,男,新北市,口腔、口咽及下咽,8.14,86,55.07,55.5,5.98,I,M
1987,男,桃園市,口腔、口咽及下咽,3.48,19,54.74,57,2.88,J,M
1987,男,新竹縣,口腔、口咽及下咽,4.05,6,53.67,53,3.1,K,M
1987,男,宜蘭縣,口腔、口咽及下咽,0.93,2,67,67,0.86,L,M
1987,男,苗栗縣,口腔、口咽及下咽,7.68,19,55.84,63,6.66,M,M
1987,男,彰化縣,口腔、口咽及下咽,15.11,75,54.32,54,11.83,N,M
1987,男,南投縣,口腔、口咽及下咽,8.24,19,58.53,58,6.81,O,M
1987,男,雲林縣,口腔、口咽及下咽,16.03,56,54.43,53.5,13.84,P,M
